Insulation,Temperature,Num_Occupants,Avg_Age,Home_Size,Prediction
5,69,10,70.1,7,287.79
5,80,1,66.7,1,248.33
4,89,9,67.8,7,278.06
7,81,9,52.4,6,240.48
4,58,8,22.9,7,135.31
4,58,6,37.4,3,163.3
6,51,2,51.6,3,210.01
2,73,5,37.4,4,158.6
9,39,1,56.9,7,250.22
8,84,5,64.5,2,264.6
10,74,6,58.3,1,251.39
5,49,6,68.6,6,271.71
8,45,2,33.9,8,180.68
3,49,4,49.7,4,195.56
9,66,6,66.2,5,282.65
9,57,10,70.1,7,304.59
9,66,10,32.9,6,189.04
4,47,3,55.2,6,222.06
5,53,1,19.8,7,120.86
5,77,3,66.9,5,264.07
3,66,6,64.1,3,241.52
6,87,7,36.1,6,186.12
10,47,1,71.3,4,290.26
10,76,3,59.5,7,271.31
3,60,4,68.2,4,253.88
4,86,7,29.9,1,145.37
8,69,9,62.2,1,256.82
3,67,5,24.8,3,123.6
3,78,6,67.3,7,266.36
4,43,3,46.0,8,199.83
7,39,10,29.4,7,167.8
4,66,7,40.7,8,192.28
5,61,4,32.2,3,150.1
3,58,2,62.1,4,232.42
7,67,6,39.5,4,188.52
9,87,10,54.5,1,242.11
10,47,8,31.2,1,166.62
10,84,4,36.5,3,191.86
2,61,9,34.1,7,161.11
5,73,3,57.8,2,225.77
7,71,1,61.0,5,251.98
2,69,1,32.4,7,147.44
5,85,1,41.7,1,174.12
3,72,8,18.9,6,122.69
8,87,2,56.8,4,244.38
6,69,4,33.2,1,153.6
3,73,3,48.2,3,190.32
6,72,4,35.5,4,170.17
3,70,6,37.9,4,165.35
9,53,5,40.3,5,200.12
8,74,5,35.6,4,181.48
5,76,4,68.8,4,267.68
8,88,6,26.8,6,169.49
3,65,9,17.2,8,122.75
10,88,1,69.8,6,298.98
2,58,3,42.5,7,178.9
8,59,6,60.0,4,254.6
4,77,9,18.8,5,127.03
9,83,9,58.3,6,268.22
4,50,7,29.8,4,143.27
10,49,10,48.9,6,239.91
9,54,4,19.0,7,140.89
4,89,9,42.9,2,186.84
8,48,1,66.6,5,270.08
3,39,6,62.8,4,235.99
8,41,3,64.7,8,275.37
2,60,9,19.8,1,102.17
6,63,9,65.3,3,262.51
8,56,4,69.4,5,283.66
4,57,2,53.6,1,201.14
6,70,4,40.7,3,182.24
2,52,10,20.9,6,118.3
3,38,2,55.4,5,211.95
5,64,9,17.8,1,111.72
10,87,2,52.1,2,232.84
3,55,6,34.8,2,146.9
5,38,3,62.9,5,245.26
7,86,6,44.9,5,211.37
5,47,6,52.3,8,228.14
3,70,3,72.2,4,266.47
4,47,4,22.0,8,128.32
8,49,8,46.1,3,209.68
9,88,10,37.8,7,211.54
2,68,10,65.3,8,262.15
6,38,5,27.9,2,135.89
2,81,3,17.1,3,101.7
7,50,8,51.2,4,224.02
8,85,6,49.5,7,236.51
8,76,1,30.1,7,170.58
3,72,7,47.9,5,200.76
6,65,3,53.6,6,229.46
7,61,1,54.6,2,220.96
8,48,8,53.5,6,241.96
2,53,4,27.4,8,136.42
4,87,8,26.7,3,144.56
3,82,6,52.0,4,210.4
6,67,1,25.7,6,143.33
9,71,8,47.5,5,228.75
8,74,9,30.2,3,167.82
10,42,9,33.2,7,192.74
8,63,1,68.9,3,272.97
8,50,6,51.5,1,217.34
6,78,4,66.9,6,273.45
7,58,6,58.2,3,240.97
5,53,7,51.6,3,211.84
6,78,5,23.3,8,152.26
9,88,8,63.8,3,274.79
4,45,8,72.6,8,287.11
2,63,3,29.0,7,138.45
10,61,6,53.8,5,248.62
10,79,9,54.5,5,257.37
5,43,9,59.0,7,248.19
5,70,8,39.8,3,179.73
4,88,1,35.9,2,157.53
6,85,7,25.9,5,155.31
9,74,4,61.4,3,260.25
7,78,5,72.8,3,287.59
5,58,4,57.6,1,220.71
7,52,1,57.0,7,243.25
3,55,10,40.4,1,165.68
9,67,9,39.9,6,209.37
2,45,1,17.5,1,80.27
4,61,1,32.2,2,138.63
5,73,8,58.3,3,236.79
5,70,3,70.2,6,276.31
3,59,3,68.3,3,249.5
2,80,2,38.2,6,165.29
10,42,4,30.3,6,174.49
9,61,1,20.8,4,135.31
6,76,10,60.7,2,248.5
8,82,8,72.6,3,296.04
7,51,1,72.4,1,270.32
5,89,2,65.1,7,265.82
9,70,3,67.4,1,270.14
3,55,7,20.8,7,122.9
3,48,8,70.1,6,269.02
2,39,6,53.1,7,211.89
8,85,3,63.5,3,262.5
5,54,4,55.1,3,218.98
10,69,4,61.1,5,269.76
2,52,3,44.2,4,173.29
5,54,3,70.5,2,261.51
9,70,8,27.8,7,175.43
3,42,4,66.0,1,233.77
8,71,5,22.6,2,138.48
5,53,5,44.4,2,184.08
4,59,7,29.9,2,138.78
8,61,5,63.4,4,264.09
6,82,2,71.7,3,276.44
2,51,10,70.6,2,255.59
9,56,4,27.4,4,156.65
5,69,6,68.7,8,281.84
8,53,3,67.9,1,264.22
10,44,10,32.9,1,173.8
10,73,1,23.7,3,149.06
8,56,5,27.7,4,154.11
5,60,8,61.7,6,254.91
10,62,5,47.4,8,237.79
10,74,10,18.9,2,144.93
10,75,1,30.8,8,184.61
3,63,4,43.0,7,187.16
7,41,3,30.8,2,147.46
4,67,1,67.1,7,262.45
2,81,3,16.0,7,110.84
4,58,6,49.7,6,210.73
2,41,2,51.9,5,197.09
10,78,4,25.4,5,165.27
10,86,4,48.2,2,223.24
8,56,9,33.6,7,186.91
3,79,10,41.7,1,174.13
4,72,7,29.5,1,138.89
4,73,7,55.0,2,217.5
9,73,2,25.9,3,151.7
4,85,4,69.6,5,270.16
5,65,1,71.6,3,267.45
9,53,7,55.3,7,255.01
7,85,9,58.2,8,265.4
5,62,8,60.8,6,252.48
9,87,6,24.6,6,167.71
10,73,1,48.8,3,222.54
10,77,5,57.6,6,264.86
10,44,5,26.2,2,150.42
10,62,8,24.3,4,158.65
6,40,10,35.7,7,182.56
5,74,10,71.2,6,288.69
10,82,8,32.4,3,184.41
2,68,10,32.9,8,163.08
7,41,3,65.2,2,252.19
6,40,2,59.2,6,241.31
3,90,4,52.3,4,210.11
3,62,9,52.0,5,214.15
3,65,9,50.0,7,215.06
9,40,6,63.9,5,270.78
5,43,1,60.9,6,241.05
8,88,7,17.7,2,134.51
6,83,3,70.5,4,277.46
3,73,5,57.5,6,231.07
7,80,8,64.0,2,261.46
5,81,8,63.5,8,270.35
10,67,4,34.4,8,197.62
3,40,1,35.3,3,143.09
2,56,4,64.5,4,237.23
6,57,1,30.1,7,157.11
9,73,9,22.6,6,160.73
7,63,6,60.9,6,259.85
5,47,6,40.6,5,182.54
3,82,3,58.5,4,226.53
2,73,7,59.7,7,238.86
4,90,5,50.8,2,204.91
7,80,2,22.0,4,138.23
6,77,10,35.7,8,191.86
5,49,1,59.3,3,227.28
2,74,2,40.5,4,164.29
8,86,5,71.8,5,297.08
4,48,8,31.5,7,159.2
3,86,6,51.1,3,205.01
3,77,1,47.9,7,200.68
10,74,8,72.9,3,305.05
4,41,10,18.6,1,101.95
5,64,7,35.6,6,174.51
6,41,1,56.0,4,223.88
6,59,9,33.8,2,162.26
8,59,7,51.0,3,225.04
3,56,3,24.3,8,130.88
6,90,1,56.2,7,242.23
2,89,1,32.0,1,135.69
7,87,7,58.6,7,261.21
9,68,8,43.5,2,206.21
9,79,3,53.4,3,235.36
2,69,6,24.6,1,114.63
4,65,7,44.5,4,190.65
2,50,3,60.4,2,215.92
6,41,6,21.1,8,136.45
3,89,10,72.7,8,292.86
5,70,1,28.7,2,135.94
9,64,3,26.5,8,167.05
4,76,2,20.5,1,110.35
8,42,7,41.6,2,190.28
2,49,1,63.5,3,226.0
2,78,9,63.2,2,236.46
